Year,FAFSA_CA_Dream_Act_Submitted,FAFSA_CA_Dream_Act_Completed,Cal_Grant_Submitted,Cal_Grant_Completed,Cal_Grant_Awarded,Enrollment,County,School_District,High_School,City
2022,247,226,238,218,127,633,Los Angeles,Antelope Valley Union High,Highland High,Palmdale
2022,431,418,422,413,155,633,Los Angeles,Glendale Unified,Crescenta Valley High,La Crescenta
2023,489,448,472,435,299,633,Riverside,Coachella Valley Unified,Coachella Valley High,Thermal
2022,483,452,463,438,195,633,San Diego,San Marcos Unified,Mission Hills High,San Marcos
2022,390,373,372,366,77,632,Sacramento,Folsom-Cordova Unified,Folsom High,Folsom
2023,294,256,264,237,152,632,Stanislaus,Modesto City High,Modesto High,Modesto
2022,383,369,368,361,90,631,Los Angeles,William S. Hart Union High,Saugus High,Saugus
2023,520,470,479,435,243,631,San Bernardino,San Bernardino City Unified,Cajon High,San Bernardino
2023,384,355,356,333,181,629,San Diego,Oceanside Unified,El Camino High,Oceanside
2023,375,345,345,323,130,629,Stanislaus,Modesto City High,James C. Enochs High,Modesto
2023,453,443,427,423,67,628,San Diego,San Dieguito Union High,Canyon Crest Academy,Encinitas
2022,425,414,418,410,123,627,Fresno,Clovis Unified,Clovis North High,Fresno
2022,415,391,397,377,217,627,Los Angeles,Whittier Union High,California High,Whittier
2023,422,399,399,381,205,627,Stanislaus,Turlock Unified,Turlock High,Turlock
2023,492,467,466,448,74,626,Alameda,Fremont Unified,American High,Fremont
2023,406,371,375,345,261,626,Kern,Kern High,Mira Monte High,Bakersfield
2023,370,349,337,320,208,624,Kern,Kern High,Highland High,Bakersfield
2023,436,410,402,385,106,624,Orange,Saddleback Valley Unified,Trabuco Hills High,Mission Viejo
2023,396,385,363,357,162,624,San Diego,Sweetwater Union High,Otay Ranch Senior High,Chula Vista
2022,401,374,388,370,151,624,San Diego,Sweetwater Union High,Otay Ranch Senior High,Chula Vista
2022,473,453,465,451,174,623,Orange,Fullerton Joint Union High,Troy High,Fullerton
2023,550,502,517,478,218,623,Riverside,Riverside Unified,Polytechnic High,Riverside
2022,404,374,393,367,165,623,San Bernardino,Chaffey Joint Union High,Alta Loma High,Alta Loma
2023,390,380,356,350,52,623,San Diego,Poway Unified,Del Norte High,San Diego
2022,1,1,1,1,1,622,Orange,Capistrano Unified,California Connections Academy Southern California,San Juan Capistra
2022,2,1,2,1,1,622,San Joaquin,San Joaquin County Office of Education,one.Charter,Stockton
2023,465,428,427,396,234,621,Los Angeles,Whittier Union High,California High,Whittier
2023,466,410,424,380,272,621,Orange,Anaheim Union High,Katella High,Anaheim
2022,439,421,428,413,80,620,Alameda,Fremont Unified,American High,Fremont
2023,333,320,315,310,63,620,Santa Clara,Mountain View-Los Altos Union High,Mountain View High,Mountain View
2022,520,475,495,458,245,619,Los Angeles,Los Angeles Unified,Grover Cleveland Charter High,Reseda
2023,393,363,364,346,123,618,Fresno,Clovis Unified,Buchanan High,Clovis
2022,401,387,387,375,256,618,Los Angeles,Alhambra Unified,Alhambra High,Alhambra
2022,335,328,325,320,62,618,Santa Clara,Fremont Union High,Homestead High,Cupertino
2023,410,396,382,378,65,617,El Dorado,El Dorado Union High,Oak Ridge High,El Dorado Hills
2022,377,362,364,355,53,617,El Dorado,El Dorado Union High,Oak Ridge High,El Dorado Hills
2022,330,309,320,304,204,617,Kern,Kern High,East Bakersfield High,Bakersfield
2022,445,401,435,398,175,617,Orange,Placentia-Yorba Linda Unified,Valencia High,Placentia
2022,339,307,328,303,181,616,Kern,Kern High,Highland High,Bakersfield
2023,267,244,226,210,149,616,Los Angeles,Antelope Valley Union High,Eastside High,Lancaster
2022,279,247,253,231,162,616,Los Angeles,Antelope Valley Union High,Palmdale High,Palmdale
2022,391,371,368,350,197,616,Riverside,Moreno Valley Unified,Valley View High,Moreno Valley
2022,375,344,361,334,193,615,San Bernardino,San Bernardino City Unified,Cajon High,San Bernardino
2023,232,212,197,184,109,614,Los Angeles,Antelope Valley Union High,Highland High,Palmdale
2022,480,464,480,464,226,614,San Diego,Grossmont Union High,Helix High,La Mesa
2022,350,337,341,333,57,613,Los Angeles,Manhattan Beach Unified,Mira Costa High,Manhattan Beach
2022,500,447,491,439,331,613,Orange,Anaheim Union High,Anaheim High,Anaheim
2022,422,410,413,403,169,612,Los Angeles,Walnut Valley Unified,Diamond Bar High,Diamond Bar
2023,429,395,399,372,189,612,Monterey,Salinas Union High,Salinas High,Salinas
2023,443,427,404,397,103,612,Sacramento,Folsom-Cordova Unified,Folsom High,Folsom
2022,286,254,261,237,159,612,San Joaquin,Stockton Unified,Edison High,Stockton
2023,596,565,568,544,258,611,Riverside,Perris Union High,Heritage High,Menifee
2023,403,372,371,349,250,610,Los Angeles,Alhambra Unified,Alhambra High,Alhambra
2022,358,343,344,333,74,610,Ventura,Conejo Valley Unified,Newbury Park High,Newbury Park
2023,337,313,312,292,130,609,San Diego,Grossmont Union High,Grossmont High,La Mesa
2022,436,414,419,406,164,607,Los Angeles,ABC Unified,Cerritos High,Cerritos
2023,499,448,468,426,222,607,San Bernardino,Chaffey Joint Union High,Alta Loma High,Alta Loma
2022,285,260,262,244,97,606,Contra Costa,Liberty Union High,Freedom High,Oakley
2022,285,272,277,268,50,606,Santa Clara,Mountain View-Los Altos Union High,Mountain View High,Mountain View
2022,352,311,324,286,194,605,Riverside,Coachella Valley Unified,Coachella Valley High,Thermal
2022,388,359,370,348,172,605,San Diego,Oceanside Unified,El Camino High,Oceanside
2023,385,361,350,335,183,604,Alameda,San Leandro Unified,San Leandro High,San Leandro
2023,403,380,381,364,186,604,Fresno,Clovis Unified,Clovis East High,Clovis
2023,426,373,382,340,197,603,Kern,Kern High,Independence High,Bakersfield
2023,426,399,390,376,201,603,Sacramento,Elk Grove Unified,Sheldon High,Sacramento
2022,361,352,345,340,57,601,San Diego,San Dieguito Union High,Canyon Crest Academy,Encinitas
2022,387,371,380,369,104,600,Alameda,Castro Valley Unified,Castro Valley High,Castro Valley
2022,463,429,452,424,237,600,Riverside,Desert Sands Unified,La Quinta High,La Quinta
2023,617,564,579,536,341,600,Riverside,Val Verde Unified,Orange Vista High,Perris
2022,373,340,369,339,185,600,Ventura,Oxnard Union High,Oxnard High,Oxnard
